existence,https://en.wiktionary.org/wiki/existence
inexistence,https://en.wiktionary.org/wiki/inexistence
substantiality,https://en.wiktionary.org/wiki/substantiality
unsubstantiality,https://en.wiktionary.org/wiki/unsubstantiality
intrinsicality,https://en.wiktionary.org/wiki/intrinsicality
extrinsicality,https://en.wiktionary.org/wiki/extrinsicality
state,https://en.wiktionary.org/wiki/state
circumstance,https://en.wiktionary.org/wiki/circumstance
relation,https://en.wiktionary.org/wiki/relation
irrelation,https://en.wiktionary.org/wiki/irrelation
consanguinity,https://en.wiktionary.org/wiki/consanguinity
correlation,https://en.wiktionary.org/wiki/correlation
identity,https://en.wiktionary.org/wiki/identity
contrariety,https://en.wiktionary.org/wiki/contrariety
difference,https://en.wiktionary.org/wiki/difference
uniformity,https://en.wiktionary.org/wiki/uniformity
nonuniformity,https://en.wiktionary.org/wiki/nonuniformity
similarity,https://en.wiktionary.org/wiki/similarity
dissimilarity,https://en.wiktionary.org/wiki/dissimilarity
imitation,https://en.wiktionary.org/wiki/imitation
nonimitation,https://en.wiktionary.org/wiki/nonimitation
variation,https://en.wiktionary.org/wiki/variation
copy,https://en.wiktionary.org/wiki/copy
prototype,https://en.wiktionary.org/wiki/prototype
agreement,https://en.wiktionary.org/wiki/agreement
disagreement,https://en.wiktionary.org/wiki/disagreement
quantity,https://en.wiktionary.org/wiki/quantity
degree,https://en.wiktionary.org/wiki/degree
equality,https://en.wiktionary.org/wiki/equality
inequality,https://en.wiktionary.org/wiki/inequality
mean,https://en.wiktionary.org/wiki/mean
compensation,https://en.wiktionary.org/wiki/compensation
greatness,https://en.wiktionary.org/wiki/greatness
smallness,https://en.wiktionary.org/wiki/smallness
superiority,https://en.wiktionary.org/wiki/superiority
inferiority,https://en.wiktionary.org/wiki/inferiority
increase,https://en.wiktionary.org/wiki/increase
nonincrease,https://en.wiktionary.org/wiki/nonincrease
addition,https://en.wiktionary.org/wiki/addition
nonaddition,https://en.wiktionary.org/wiki/nonaddition
adjunct,https://en.wiktionary.org/wiki/adjunct
remainder,https://en.wiktionary.org/wiki/remainder
decrement,https://en.wiktionary.org/wiki/decrement
mixture,https://en.wiktionary.org/wiki/mixture
simpleness,https://en.wiktionary.org/wiki/simpleness
junction,https://en.wiktionary.org/wiki/junction
disjunction,https://en.wiktionary.org/wiki/disjunction
connection,https://en.wiktionary.org/wiki/connection
coherence,https://en.wiktionary.org/wiki/coherence
incoherence,https://en.wiktionary.org/wiki/incoherence
combination,https://en.wiktionary.org/wiki/combination
decomposition,https://en.wiktionary.org/wiki/decomposition
whole,https://en.wiktionary.org/wiki/whole
part,https://en.wiktionary.org/wiki/part
completeness,https://en.wiktionary.org/wiki/completeness
incompleteness,https://en.wiktionary.org/wiki/incompleteness
composition,https://en.wiktionary.org/wiki/composition
exclusion,https://en.wiktionary.org/wiki/exclusion
component,https://en.wiktionary.org/wiki/component
extraneousness,https://en.wiktionary.org/wiki/extraneousness
order,https://en.wiktionary.org/wiki/order
disorder,https://en.wiktionary.org/wiki/disorder
complexity,https://en.wiktionary.org/wiki/complexity
arrangement,https://en.wiktionary.org/wiki/arrangement
derangement,https://en.wiktionary.org/wiki/derangement
precedence,https://en.wiktionary.org/wiki/precedence
sequence,https://en.wiktionary.org/wiki/sequence
precursor,https://en.wiktionary.org/wiki/precursor
sequel,https://en.wiktionary.org/wiki/sequel
beginning,https://en.wiktionary.org/wiki/beginning
end,https://en.wiktionary.org/wiki/end
middle,https://en.wiktionary.org/wiki/middle
continuity,https://en.wiktionary.org/wiki/continuity
discontinuity,https://en.wiktionary.org/wiki/discontinuity
term,https://en.wiktionary.org/wiki/term
assemblage,https://en.wiktionary.org/wiki/assemblage
nonassemblage,https://en.wiktionary.org/w/index.php?title=nonassemblage&action=edit&redlink=1
focus,https://en.wiktionary.org/wiki/focus
class,https://en.wiktionary.org/wiki/class
inclusion,https://en.wiktionary.org/wiki/inclusion
exclusion,https://en.wiktionary.org/wiki/exclusion
generality,https://en.wiktionary.org/wiki/generality
speciality,https://en.wiktionary.org/wiki/speciality
normality,https://en.wiktionary.org/wiki/normality
multiformity,https://en.wiktionary.org/wiki/multiformity
conformity,https://en.wiktionary.org/wiki/conformity
unconformity,https://en.wiktionary.org/wiki/unconformity
number,https://en.wiktionary.org/wiki/number
numeration,https://en.wiktionary.org/wiki/numeration
list,https://en.wiktionary.org/wiki/list
unity,https://en.wiktionary.org/wiki/unity
accompaniment,https://en.wiktionary.org/wiki/accompaniment
duality,https://en.wiktionary.org/wiki/duality
duplication,https://en.wiktionary.org/wiki/duplication
bisection,https://en.wiktionary.org/wiki/bisection
triality,https://en.wiktionary.org/wiki/triality
triplication,https://en.wiktionary.org/wiki/triplication
trisection,https://en.wiktionary.org/wiki/trisection
four,https://en.wiktionary.org/wiki/four
quadruplication,https://en.wiktionary.org/wiki/quadruplication
quadrisection,https://en.wiktionary.org/wiki/quadrisection
five,https://en.wiktionary.org/wiki/five
quinquesection,https://en.wiktionary.org/wiki/quinquesection
plurality,https://en.wiktionary.org/wiki/plurality
fraction,https://en.wiktionary.org/wiki/fraction
zero,https://en.wiktionary.org/wiki/zero
multitude,https://en.wiktionary.org/wiki/multitude
fewness,https://en.wiktionary.org/wiki/fewness
repetition,https://en.wiktionary.org/wiki/repetition
infinity,https://en.wiktionary.org/wiki/infinity
time,
neverness,
period,
contingent duration,
course ,
diuturnity ,
transientness ,
perpetuity ,
instantaneity ,
chronometry,
anachronism,
priority,https://en.wiktionary.org/wiki/priority
posteriority,https://en.wiktionary.org/wiki/posteriority
present time,https://en.wiktionary.org/w/index.php?title=present_time&action=edit&redlink=1
different time,https://en.wiktionary.org/w/index.php?title=different_time&action=edit&redlink=1
synchronism,https://en.wiktionary.org/wiki/synchronism
futurity,https://en.wiktionary.org/wiki/futurity
past,https://en.wiktionary.org/wiki/past
newness,https://en.wiktionary.org/wiki/newness
oldness,https://en.wiktionary.org/wiki/oldness
morning,https://en.wiktionary.org/wiki/morning
evening,https://en.wiktionary.org/wiki/evening
youth,https://en.wiktionary.org/wiki/youth
age,https://en.wiktionary.org/wiki/age
infant,https://en.wiktionary.org/wiki/infant
veteran,https://en.wiktionary.org/wiki/veteran
adolescence,https://en.wiktionary.org/wiki/adolescence
earliness,https://en.wiktionary.org/wiki/earliness
punctuality,https://en.wiktionary.org/wiki/punctuality
lateness,https://en.wiktionary.org/wiki/lateness
occasion,https://en.wiktionary.org/wiki/occasion
untimeliness,https://en.wiktionary.org/wiki/untimeliness
frequency, 
infrequency,
periodicity,
irregularity of recurrence,
change,https://en.wiktionary.org/wiki/change
permanence,https://en.wiktionary.org/wiki/permanence
